SUBJECT;LABEL;DICE
117122;Amygdala;0.35798854232972627
117122;GreyMatter;0.733969184636337
117122;Hippocampus;0.48275280425065364
117122;Thalamus;0.7390217065119535
117122;WhiteMatter;0.7966244084068469
117122-PP;Amygdala;0.35798854232972627
117122-PP;GreyMatter;0.733969184636337
117122-PP;Hippocampus;0.48275280425065364
117122-PP;Thalamus;0.7390217065119535
117122-PP;WhiteMatter;0.7966244084068469
118528;Amygdala;0.34898037706810314
118528;GreyMatter;0.7210189785778285
118528;Hippocampus;0.39813610094102697
118528;Thalamus;0.6825259273753949
118528;WhiteMatter;0.8336305567264356
118528-PP;Amygdala;0.34898037706810314
118528-PP;GreyMatter;0.7210189785778285
118528-PP;Hippocampus;0.39813610094102697
118528-PP;Thalamus;0.6825259273753949
118528-PP;WhiteMatter;0.8336305567264356
118730;Amygdala;0.4578536947642035
118730;GreyMatter;0.7195190566583741
118730;Hippocampus;0.4325530243519246
118730;Thalamus;0.6937464961011162
118730;WhiteMatter;0.831852182144637
118730-PP;Amygdala;0.4578536947642035
118730-PP;GreyMatter;0.7195190566583741
118730-PP;Hippocampus;0.4325530243519246
118730-PP;Thalamus;0.6937464961011162
118730-PP;WhiteMatter;0.831852182144637
118932;Amygdala;0.4666125431296935
118932;GreyMatter;0.7278365005809218
118932;Hippocampus;0.45475792988313857
118932;Thalamus;0.7370731959295418
118932;WhiteMatter;0.8053149378074432
118932-PP;Amygdala;0.4666125431296935
118932-PP;GreyMatter;0.7278365005809218
118932-PP;Hippocampus;0.45475792988313857
118932-PP;Thalamus;0.7370731959295418
118932-PP;WhiteMatter;0.8053149378074432
120111;Amygdala;0.43893533198808493
120111;GreyMatter;0.7212996005723977
120111;Hippocampus;0.46590127870204867
120111;Thalamus;0.7337139822068782
120111;WhiteMatter;0.8484974582987435
120111-PP;Amygdala;0.43893533198808493
120111-PP;GreyMatter;0.7212996005723977
120111-PP;Hippocampus;0.46590127870204867
120111-PP;Thalamus;0.7337139822068782
120111-PP;WhiteMatter;0.8484974582987435
122317;Amygdala;0.5124738847240998
122317;GreyMatter;0.7345687568539038
122317;Hippocampus;0.46270410437178394
122317;Thalamus;0.666051035798935
122317;WhiteMatter;0.8048044825326722
122317-PP;Amygdala;0.5124738847240998
122317-PP;GreyMatter;0.7345687568539038
122317-PP;Hippocampus;0.46270410437178394
122317-PP;Thalamus;0.666051035798935
122317-PP;WhiteMatter;0.8048044825326722
122620;Amygdala;0.45039399981012057
122620;GreyMatter;0.7288261643434921
122620;Hippocampus;0.367996728398668
122620;Thalamus;0.673345358679062
122620;WhiteMatter;0.8355877697520956
122620-PP;Amygdala;0.45039399981012057
122620-PP;GreyMatter;0.7288261643434921
122620-PP;Hippocampus;0.367996728398668
122620-PP;Thalamus;0.673345358679062
122620-PP;WhiteMatter;0.8355877697520956
123117;Amygdala;0.3979871912168344
123117;GreyMatter;0.7026009519123501
123117;Hippocampus;0.2713403027907113
123117;Thalamus;0.27149131980757163
123117;WhiteMatter;0.7849509421641699
123117-PP;Amygdala;0.3979871912168344
123117-PP;GreyMatter;0.7026009519123501
123117-PP;Hippocampus;0.2713403027907113
123117-PP;Thalamus;0.27149131980757163
123117-PP;WhiteMatter;0.7849509421641699
123925;Amygdala;0.46283558908364764
123925;GreyMatter;0.7007813676293122
123925;Hippocampus;0.3661309788477419
123925;Thalamus;0.6796382570567279
123925;WhiteMatter;0.8274635202634637
123925-PP;Amygdala;0.46283558908364764
123925-PP;GreyMatter;0.7007813676293122
123925-PP;Hippocampus;0.3661309788477419
123925-PP;Thalamus;0.6796382570567279
123925-PP;WhiteMatter;0.8274635202634637
124422;Amygdala;0.4978645515558267
124422;GreyMatter;0.7191883084801306
124422;Hippocampus;0.43571714816568907
124422;Thalamus;0.7775089519016742
124422;WhiteMatter;0.7829746971763814
124422-PP;Amygdala;0.4978645515558267
124422-PP;GreyMatter;0.7191883084801306
124422-PP;Hippocampus;0.43571714816568907
124422-PP;Thalamus;0.7775089519016742
124422-PP;WhiteMatter;0.7829746971763814
