SUBJECT;LABEL;DICE
117122;Amygdala;0.2988705473501303
117122;GreyMatter;0.718783908892716
117122;Hippocampus;0.39435643221132183
117122;Thalamus;0.7243815093471762
117122;WhiteMatter;0.8023092448330584
117122-PP;Amygdala;0.2988705473501303
117122-PP;GreyMatter;0.718783908892716
117122-PP;Hippocampus;0.39435643221132183
117122-PP;Thalamus;0.7243815093471762
117122-PP;WhiteMatter;0.8023092448330584
118528;Amygdala;0.3387747615553925
118528;GreyMatter;0.7122821415015952
118528;Hippocampus;0.3776284288557501
118528;Thalamus;0.6878783612558074
118528;WhiteMatter;0.8149505857218778
118528-PP;Amygdala;0.3387747615553925
118528-PP;GreyMatter;0.7122821415015952
118528-PP;Hippocampus;0.3776284288557501
118528-PP;Thalamus;0.6878783612558074
118528-PP;WhiteMatter;0.8149505857218778
118730;Amygdala;0.4630505331478906
118730;GreyMatter;0.7116245287586899
118730;Hippocampus;0.3995961275761715
118730;Thalamus;0.7006096300888613
118730;WhiteMatter;0.812198682771344
118730-PP;Amygdala;0.4630505331478906
118730-PP;GreyMatter;0.7116245287586899
118730-PP;Hippocampus;0.3995961275761715
118730-PP;Thalamus;0.7006096300888613
118730-PP;WhiteMatter;0.812198682771344
118932;Amygdala;0.43041825095057035
118932;GreyMatter;0.7147897938709853
118932;Hippocampus;0.3945164188621279
118932;Thalamus;0.7441010649404887
118932;WhiteMatter;0.8008157930794608
118932-PP;Amygdala;0.43041825095057035
118932-PP;GreyMatter;0.7147897938709853
118932-PP;Hippocampus;0.3945164188621279
118932-PP;Thalamus;0.7441010649404887
118932-PP;WhiteMatter;0.8008157930794608
120111;Amygdala;0.42226910024763825
120111;GreyMatter;0.7110283567743763
120111;Hippocampus;0.4392908543765537
120111;Thalamus;0.7318653881909214
120111;WhiteMatter;0.8394107557679659
120111-PP;Amygdala;0.42226910024763825
120111-PP;GreyMatter;0.7110283567743763
120111-PP;Hippocampus;0.4392908543765537
120111-PP;Thalamus;0.7318653881909214
120111-PP;WhiteMatter;0.8394107557679659
122317;Amygdala;0.47271898849527283
122317;GreyMatter;0.7221250575317246
122317;Hippocampus;0.4015105196907031
122317;Thalamus;0.6397816486751717
122317;WhiteMatter;0.7933344613475668
122317-PP;Amygdala;0.47271898849527283
122317-PP;GreyMatter;0.7221250575317246
122317-PP;Hippocampus;0.4015105196907031
122317-PP;Thalamus;0.6397816486751717
122317-PP;WhiteMatter;0.7933344613475668
122620;Amygdala;0.45270525917517973
122620;GreyMatter;0.7225238935196394
122620;Hippocampus;0.3436034829202947
122620;Thalamus;0.6815200180954535
122620;WhiteMatter;0.8158533098189769
122620-PP;Amygdala;0.45270525917517973
122620-PP;GreyMatter;0.7225238935196394
122620-PP;Hippocampus;0.3436034829202947
122620-PP;Thalamus;0.6815200180954535
122620-PP;WhiteMatter;0.8158533098189769
123117;Amygdala;0.37660668380462725
123117;GreyMatter;0.6878647261809788
123117;Hippocampus;0.24142187114292768
123117;Thalamus;0.2576460690927841
123117;WhiteMatter;0.7852291044814067
123117-PP;Amygdala;0.37660668380462725
123117-PP;GreyMatter;0.6878647261809788
123117-PP;Hippocampus;0.24142187114292768
123117-PP;Thalamus;0.2576460690927841
123117-PP;WhiteMatter;0.7852291044814067
123925;Amygdala;0.44729166666666664
123925;GreyMatter;0.6930574661712693
123925;Hippocampus;0.3444158205788756
123925;Thalamus;0.6869621282202226
123925;WhiteMatter;0.8129120131457264
123925-PP;Amygdala;0.44729166666666664
123925-PP;GreyMatter;0.6930574661712693
123925-PP;Hippocampus;0.3444158205788756
123925-PP;Thalamus;0.6869621282202226
123925-PP;WhiteMatter;0.8129120131457264
124422;Amygdala;0.45454545454545453
124422;GreyMatter;0.7055689203567049
124422;Hippocampus;0.39530396677458385
124422;Thalamus;0.7670227828549363
124422;WhiteMatter;0.7860451030456826
124422-PP;Amygdala;0.45454545454545453
124422-PP;GreyMatter;0.7055689203567049
124422-PP;Hippocampus;0.39530396677458385
124422-PP;Thalamus;0.7670227828549363
124422-PP;WhiteMatter;0.7860451030456826
