SUBJECT;LABEL;DICE
117122;Amygdala;0.36154047681425205
117122;GreyMatter;0.7346460864293484
117122;Hippocampus;0.49837430094940827
117122;Thalamus;0.7422958787592399
117122;WhiteMatter;0.7948339582643097
117122-PP;Amygdala;0.36154047681425205
117122-PP;GreyMatter;0.7346460864293484
117122-PP;Hippocampus;0.49837430094940827
117122-PP;Thalamus;0.7422958787592399
117122-PP;WhiteMatter;0.7948339582643097
118528;Amygdala;0.34638495832525684
118528;GreyMatter;0.7198253273338597
118528;Hippocampus;0.39637469513113127
118528;Thalamus;0.6817395187852398
118528;WhiteMatter;0.8351374486666884
118528-PP;Amygdala;0.34638495832525684
118528-PP;GreyMatter;0.7198253273338597
118528-PP;Hippocampus;0.39637469513113127
118528-PP;Thalamus;0.6817395187852398
118528-PP;WhiteMatter;0.8351374486666884
118730;Amygdala;0.4545790934320074
118730;GreyMatter;0.7194498668216452
118730;Hippocampus;0.4328470352513932
118730;Thalamus;0.6942190798341769
118730;WhiteMatter;0.8333017049489471
118730-PP;Amygdala;0.4545790934320074
118730-PP;GreyMatter;0.7194498668216452
118730-PP;Hippocampus;0.4328470352513932
118730-PP;Thalamus;0.6942190798341769
118730-PP;WhiteMatter;0.8333017049489471
118932;Amygdala;0.4748867846850556
118932;GreyMatter;0.729360369298931
118932;Hippocampus;0.45879314393050014
118932;Thalamus;0.7421449245130505
118932;WhiteMatter;0.805070380103112
118932-PP;Amygdala;0.4748867846850556
118932-PP;GreyMatter;0.729360369298931
118932-PP;Hippocampus;0.45879314393050014
118932-PP;Thalamus;0.7421449245130505
118932-PP;WhiteMatter;0.805070380103112
120111;Amygdala;0.4400384985563041
120111;GreyMatter;0.7211623593882516
120111;Hippocampus;0.46893829212549343
120111;Thalamus;0.7335011259769506
120111;WhiteMatter;0.8500696670136912
120111-PP;Amygdala;0.4400384985563041
120111-PP;GreyMatter;0.7211623593882516
120111-PP;Hippocampus;0.46893829212549343
120111-PP;Thalamus;0.7335011259769506
120111-PP;WhiteMatter;0.8500696670136912
122317;Amygdala;0.5192827315155981
122317;GreyMatter;0.7356481943970611
122317;Hippocampus;0.4664183685998445
122317;Thalamus;0.6622249388753056
122317;WhiteMatter;0.8061464841812952
122317-PP;Amygdala;0.5192827315155981
122317-PP;GreyMatter;0.7356481943970611
122317-PP;Hippocampus;0.4664183685998445
122317-PP;Thalamus;0.6622249388753056
122317-PP;WhiteMatter;0.8061464841812952
122620;Amygdala;0.44828574157196066
122620;GreyMatter;0.7288440584754479
122620;Hippocampus;0.371040987424313
122620;Thalamus;0.674223481691393
122620;WhiteMatter;0.8376560891710672
122620-PP;Amygdala;0.44828574157196066
122620-PP;GreyMatter;0.7288440584754479
122620-PP;Hippocampus;0.371040987424313
122620-PP;Thalamus;0.674223481691393
122620-PP;WhiteMatter;0.8376560891710672
123117;Amygdala;0.3849217375196814
123117;GreyMatter;0.6971480574771723
123117;Hippocampus;0.28007596890023145
123117;Thalamus;0.26729907773386036
123117;WhiteMatter;0.7785321227866221
123117-PP;Amygdala;0.3849217375196814
123117-PP;GreyMatter;0.6971480574771723
123117-PP;Hippocampus;0.28007596890023145
123117-PP;Thalamus;0.26729907773386036
123117-PP;WhiteMatter;0.7785321227866221
123925;Amygdala;0.4660345789180145
123925;GreyMatter;0.7013768627680295
123925;Hippocampus;0.3678804261408809
123925;Thalamus;0.6820228420821436
123925;WhiteMatter;0.8277481155778894
123925-PP;Amygdala;0.4660345789180145
123925-PP;GreyMatter;0.7013768627680295
123925-PP;Hippocampus;0.3678804261408809
123925-PP;Thalamus;0.6820228420821436
123925-PP;WhiteMatter;0.8277481155778894
124422;Amygdala;0.5018933578958141
124422;GreyMatter;0.7210116697643848
124422;Hippocampus;0.43597937395598807
124422;Thalamus;0.7857585745521
124422;WhiteMatter;0.7829649109548068
124422-PP;Amygdala;0.5018933578958141
124422-PP;GreyMatter;0.7210116697643848
124422-PP;Hippocampus;0.43597937395598807
124422-PP;Thalamus;0.7857585745521
124422-PP;WhiteMatter;0.7829649109548068
