SUBJECT;LABEL;DICE
117122;Amygdala;0.3519399249061327
117122;GreyMatter;0.5514262535903002
117122;Hippocampus;0.5332166031517149
117122;Thalamus;0.711629889504574
117122;WhiteMatter;0.6375411009080533
117122-PP;Amygdala;0.3519399249061327
117122-PP;GreyMatter;0.5514262535903002
117122-PP;Hippocampus;0.5332166031517149
117122-PP;Thalamus;0.711629889504574
117122-PP;WhiteMatter;0.6375411009080533
118528;Amygdala;0.39096622989240437
118528;GreyMatter;0.5812514353680038
118528;Hippocampus;0.35479551414383753
118528;Thalamus;0.6817463827636318
118528;WhiteMatter;0.6968917267130665
118528-PP;Amygdala;0.39096622989240437
118528-PP;GreyMatter;0.5812514353680038
118528-PP;Hippocampus;0.35479551414383753
118528-PP;Thalamus;0.6817463827636318
118528-PP;WhiteMatter;0.6968917267130665
118730;Amygdala;0.47751605995717344
118730;GreyMatter;0.5978258305737483
118730;Hippocampus;0.45934754065245936
118730;Thalamus;0.6937669376693767
118730;WhiteMatter;0.6763502790850389
118730-PP;Amygdala;0.47751605995717344
118730-PP;GreyMatter;0.5978258305737483
118730-PP;Hippocampus;0.45934754065245936
118730-PP;Thalamus;0.6937669376693767
118730-PP;WhiteMatter;0.6763502790850389
118932;Amygdala;0.43265535664073485
118932;GreyMatter;0.594970512963169
118932;Hippocampus;0.4377226504307274
118932;Thalamus;0.6836655449132798
118932;WhiteMatter;0.6391160275138886
118932-PP;Amygdala;0.43265535664073485
118932-PP;GreyMatter;0.594970512963169
118932-PP;Hippocampus;0.4377226504307274
118932-PP;Thalamus;0.6836655449132798
118932-PP;WhiteMatter;0.6391160275138886
120111;Amygdala;0.4873286658120501
120111;GreyMatter;0.5714459896576704
120111;Hippocampus;0.4625906450836856
120111;Thalamus;0.7141111948639306
120111;WhiteMatter;0.6986891774253902
120111-PP;Amygdala;0.4873286658120501
120111-PP;GreyMatter;0.5714459896576704
120111-PP;Hippocampus;0.4625906450836856
120111-PP;Thalamus;0.7141111948639306
120111-PP;WhiteMatter;0.6986891774253902
122317;Amygdala;0.5767800972261938
122317;GreyMatter;0.5729921459336205
122317;Hippocampus;0.47513321492007105
122317;Thalamus;0.6070201138092287
122317;WhiteMatter;0.6781941772032614
122317-PP;Amygdala;0.5767800972261938
122317-PP;GreyMatter;0.5729921459336205
122317-PP;Hippocampus;0.47513321492007105
122317-PP;Thalamus;0.6070201138092287
122317-PP;WhiteMatter;0.6781941772032614
122620;Amygdala;0.4882080225760935
122620;GreyMatter;0.6040079184006751
122620;Hippocampus;0.3921063644850787
122620;Thalamus;0.6172156953083007
122620;WhiteMatter;0.6800197643438883
122620-PP;Amygdala;0.4882080225760935
122620-PP;GreyMatter;0.6040079184006751
122620-PP;Hippocampus;0.3921063644850787
122620-PP;Thalamus;0.6172156953083007
122620-PP;WhiteMatter;0.6800197643438883
123117;Amygdala;0.293353705118411
123117;GreyMatter;0.5263519394370626
123117;Hippocampus;0.24018109790605546
123117;Thalamus;0.10497055099906424
123117;WhiteMatter;0.6213474618560373
123117-PP;Amygdala;0.293353705118411
123117-PP;GreyMatter;0.5263519394370626
123117-PP;Hippocampus;0.24018109790605546
123117-PP;Thalamus;0.10497055099906424
123117-PP;WhiteMatter;0.6213474618560373
123925;Amygdala;0.46538381091821795
123925;GreyMatter;0.5777430528109996
123925;Hippocampus;0.3688823491779157
123925;Thalamus;0.6236460717009916
123925;WhiteMatter;0.7035302911542873
123925-PP;Amygdala;0.46538381091821795
123925-PP;GreyMatter;0.5777430528109996
123925-PP;Hippocampus;0.3688823491779157
123925-PP;Thalamus;0.6236460717009916
123925-PP;WhiteMatter;0.7035302911542873
124422;Amygdala;0.4691289966923925
124422;GreyMatter;0.5693498758919356
124422;Hippocampus;0.4553288649922663
124422;Thalamus;0.7289333209910828
124422;WhiteMatter;0.6627503331188694
124422-PP;Amygdala;0.4691289966923925
124422-PP;GreyMatter;0.5693498758919356
124422-PP;Hippocampus;0.4553288649922663
124422-PP;Thalamus;0.7289333209910828
124422-PP;WhiteMatter;0.6627503331188694
